Date,Irradiance,Temperature,Power_Output
2024-01-01,749.82,25.78,107.95
2024-01-02,980.29,32.97,140.05
2024-01-03,892.8,33.11,133.09
2024-01-04,839.46,34.56,123.21
2024-01-05,662.41,35.89,105.43
2024-01-06,662.4,39.64,105.21
2024-01-07,623.23,32.74,110.81
2024-01-08,946.47,29.84,137.63
2024-01-09,840.45,36.93,126.9
2024-01-10,883.23,29.06,130.31
2024-01-11,608.23,31.58,97.69
2024-01-12,987.96,26.18,138.39
2024-01-13,932.98,25.38,135.33
2024-01-14,684.94,39.44,117.53
2024-01-15,672.73,37.54,108.11
2024-01-16,673.36,35.44,106.28
2024-01-17,721.7,31.13,110.14
2024-01-18,809.9,27.6,107.76
2024-01-19,772.78,27.35,107.03
2024-01-20,716.49,28.75,115.82
2024-01-21,844.74,33.24,136.18
2024-01-22,655.8,35.72,106.03
2024-01-23,716.86,34.9,116.83
2024-01-24,746.54,29.2,114.5
2024-01-25,782.43,39.32,140.74
2024-01-26,914.07,36.07,144.14
2024-01-27,679.87,33.32,107.6
2024-01-28,805.69,34.18,119.25
2024-01-29,836.97,31.29,117.44
2024-01-30,618.58,28.72,98.22
2024-01-31,843.02,30.34,121.65
2024-02-01,668.21,36.37,102.17
2024-02-02,626.02,25.22,92.06
2024-02-03,979.55,26.74,133.53
2024-02-04,986.25,25.69,147.34
2024-02-05,923.36,25.61,135.7
2024-02-06,721.85,37.83,116.85
2024-02-07,639.07,35.55,112.53
2024-02-08,873.69,32.11,130.92
2024-02-09,776.06,26.47,109.99
2024-02-10,648.82,32.37,111.37
2024-02-11,798.07,32.1,124.14
2024-02-12,613.76,27.6,90.54
2024-02-13,963.73,31.51,139.9
2024-02-14,703.51,30.98,104.83
2024-02-15,865.01,34.24,124.28
2024-02-16,724.68,34.53,119.21
2024-02-17,808.03,25.68,127.05
2024-02-18,818.68,30.62,115.74
2024-02-19,673.94,34.39,111.2
2024-02-20,987.83,32.55,141.32
2024-02-21,910.05,37.85,137.05
2024-02-22,975.8,34.88,142.04
2024-02-23,957.93,27.44,132.59
2024-02-24,839.16,26.06,121.79
2024-02-25,968.75,34.64,139.8
2024-02-26,635.4,25.4,97.92
2024-02-27,678.39,33.79,108.19
2024-02-28,618.09,39.1,104.26
2024-02-29,730.13,33.63,109.98
2024-03-01,755.47,30.82,112.43
2024-03-02,708.54,34.65,116.52
2024-03-03,931.5,31.87,139.78
2024-03-04,742.7,33.18,110.78
2024-03-05,712.37,39.12,117.28
2024-03-06,817.08,30.79,126.44
2024-03-07,656.37,39.42,101.95
2024-03-08,920.88,38.58,144.09
2024-03-09,629.82,27.94,94.61
2024-03-10,994.75,26.04,143.06
2024-03-11,908.9,26.51,126.46
2024-03-12,679.49,25.27,92.73
2024-03-13,602.21,26.42,85.26
2024-03-14,926.18,35.25,139.58
2024-03-15,882.74,26.07,128.08
2024-03-16,891.6,29.78,126.3
2024-03-17,908.51,37.67,142.35
2024-03-18,629.62,25.35,87.53
2024-03-19,743.39,37.22,118.65
2024-03-20,646.35,29.23,94.89
2024-03-21,945.24,26.77,131.59
2024-03-22,849.32,35.45,130.52
2024-03-23,732.36,34.43,111.13
2024-03-24,625.42,38.16,103.66
2024-03-25,724.39,36.03,120.78
2024-03-26,730.07,37.05,114.37
2024-03-27,891.84,29.23,134.58
2024-03-28,855.02,27.66,119.08
2024-03-29,954.89,36.26,146.24
2024-03-30,788.89,37.1,131.56
2024-03-31,647.84,39.86,97.27
2024-04-01,885.3,31.19,127.2
2024-04-02,904.31,30.58,135.87
2024-04-03,824.51,36.65,127.24
2024-04-04,908.39,30.11,134.95
2024-04-05,797.52,38.96,123.85
2024-04-06,809.09,37.88,127.83
2024-04-07,771.02,31.43,116.89
2024-04-08,610.17,36.26,108.07
2024-04-09,643.16,36.32,107.51
2024-04-10,612.57,26.55,96.43
2024-04-11,854.56,38.54,131.32
2024-04-12,725.74,32.58,110.71
2024-04-13,803.43,37.4,124.17
2024-04-14,963.03,29.8,141.38
2024-04-15,699.72,38.43,112.61
2024-04-16,764.15,30.84,117.82
2024-04-17,902.22,25.16,138.77
2024-04-18,691.52,38.58,118.2
2024-04-19,630.79,26.37,95.16
2024-04-20,715.9,29.79,115.75
2024-04-21,664.49,39.25,109.1
2024-04-22,971.88,39.26,137.84
2024-04-23,923.25,33.6,132.63
2024-04-24,853.36,34.48,120.63
2024-04-25,948.58,31.73,137.45
2024-04-26,921.47,29.4,134.19
2024-04-27,674.63,29.93,113.28
2024-04-28,957.02,35.09,144.55
2024-04-29,815.74,36.29,125.82
2024-04-30,922.98,36.87,144.4
2024-05-01,958.44,36.84,133.43
2024-05-02,727.2,26.37,109.54
2024-05-03,644.02,32.42,107.07
2024-05-04,691.17,25.86,96.24
2024-05-05,770.84,33.24,124.81
2024-05-06,927.21,31.62,138.26
2024-05-07,944.29,38.32,141.89
2024-05-08,602.78,30.26,99.71
2024-05-09,804.3,26.76,129.27
2024-05-10,766.96,27.14,114.66
2024-05-11,688.84,36.42,113.04
2024-05-12,647.95,34.27,102.88
2024-05-13,735.05,26.52,105.17
2024-05-14,977.16,26.26,142.42
2024-05-15,729.28,35.51,111.64
2024-05-16,807.52,26.09,118.13
2024-05-17,881.21,37.33,133.22
2024-05-18,745.45,35.59,120.32
2024-05-19,988.71,26.22,141.29
2024-05-20,984.98,26.27,144.4
2024-05-21,700.71,39.8,113.38
2024-05-22,798.9,30.61,119.01
2024-05-23,720.35,30.56,106.0
2024-05-24,713.94,37.19,113.2
2024-05-25,614.75,39.21,107.02
2024-05-26,843.83,39.79,136.88
2024-05-27,801.07,36.3,120.56
2024-05-28,620.59,30.64,103.33
2024-05-29,711.46,26.25,113.16
2024-05-30,963.31,36.66,146.99
2024-05-31,695.82,33.38,119.58
2024-06-01,657.96,31.36,100.18
2024-06-02,795.78,38.6,120.15
2024-06-03,994.26,26.67,131.75
2024-06-04,696.82,32.39,117.01
2024-06-05,868.85,25.17,127.67
2024-06-06,904.65,32.03,133.9
2024-06-07,695.06,25.84,105.48
2024-06-08,891.29,26.78,122.75
2024-06-09,747.11,26.76,123.29
2024-06-10,852.92,34.74,130.79
2024-06-11,853.41,36.19,131.91
2024-06-12,814.31,33.75,128.35
2024-06-13,636.12,39.43,110.29
2024-06-14,934.12,30.62,137.71
2024-06-15,728.31,29.29,106.87
2024-06-16,674.61,38.03,113.73
2024-06-17,616.31,28.35,106.05
2024-06-18,836.36,39.45,138.65
2024-06-19,871.03,25.18,132.63
2024-06-20,606.64,39.55,101.88
2024-06-21,804.84,25.65,112.15
2024-06-22,690.6,38.37,112.94
2024-06-23,858.07,32.92,129.58
2024-06-24,669.75,39.89,117.76
2024-06-25,876.38,26.11,117.59
2024-06-26,754.69,33.31,124.86
2024-06-27,974.69,39.54,147.8
2024-06-28,655.01,32.85,102.74
2024-06-29,736.43,34.44,110.86
2024-06-30,645.39,35.44,97.52
2024-07-01,969.88,31.82,145.96
2024-07-02,950.94,34.41,142.01
2024-07-03,703.18,33.76,104.94
2024-07-04,863.99,38.52,128.02
2024-07-05,926.89,25.68,130.09
2024-07-06,822.08,29.21,130.37
2024-07-07,811.86,39.26,127.53
2024-07-08,696.74,38.35,106.78
2024-07-09,637.24,31.83,100.71
2024-07-10,958.89,34.3,141.14
2024-07-11,960.17,29.16,125.06
2024-07-12,853.24,27.82,124.37
2024-07-13,735.61,31.96,112.68
2024-07-14,739.68,30.3,116.48
2024-07-15,890.38,33.75,143.09
2024-07-16,958.84,26.17,141.63
2024-07-17,954.83,39.62,144.93
2024-07-18,911.95,39.79,135.74
2024-07-19,856.81,35.47,144.06
2024-07-20,633.66,33.04,102.77
2024-07-21,664.65,29.64,103.54
2024-07-22,959.42,37.21,144.78
2024-07-23,842.57,35.27,130.32
2024-07-24,603.68,27.44,93.67
2024-07-25,640.59,38.66,104.93
2024-07-26,865.4,37.34,130.98
2024-07-27,602.02,39.25,103.48
2024-07-28,664.32,35.89,105.71
2024-07-29,819.49,34.2,122.14
2024-07-30,876.76,31.27,130.76
2024-07-31,860.78,38.99,133.21
2024-08-01,689.71,37.99,120.68
2024-08-02,884.87,25.68,113.47
2024-08-03,694.9,25.4,109.16
2024-08-04,730.16,30.65,118.37
2024-08-05,898.6,37.16,127.19
2024-08-06,859.85,39.81,133.32
2024-08-07,939.69,27.26,132.71
2024-08-08,863.05,33.91,123.66
2024-08-09,827.32,30.71,119.96
2024-08-10,637.47,39.55,102.58
2024-08-11,747.09,37.63,128.52
2024-08-12,706.08,37.57,119.47
2024-08-13,697.6,32.03,115.69
2024-08-14,989.2,31.22,147.29
2024-08-15,757.24,29.1,108.5
2024-08-16,956.82,25.85,132.87
2024-08-17,852.46,37.97,135.12
2024-08-18,917.92,37.19,133.8
2024-08-19,801.05,40.0,131.69
2024-08-20,830.76,39.95,130.45
2024-08-21,797.01,33.33,120.43
2024-08-22,678.1,36.53,114.15
2024-08-23,888.98,39.17,140.24
2024-08-24,712.31,37.74,113.87
2024-08-25,609.73,28.71,101.93
2024-08-26,858.19,31.76,122.98
2024-08-27,670.84,26.94,105.13
2024-08-28,976.18,39.31,151.56
2024-08-29,981.57,34.09,143.51
2024-08-30,965.95,28.43,140.29
2024-08-31,748.06,35.08,111.57
2024-09-01,606.18,34.27,104.78
2024-09-02,971.33,30.37,139.93
2024-09-03,771.27,26.7,111.3
2024-09-04,986.66,35.07,151.7
2024-09-05,985.45,32.8,140.98
2024-09-06,941.2,36.58,135.17
2024-09-07,717.78,32.8,104.59
2024-09-08,754.04,37.78,123.74
2024-09-09,940.45,33.28,133.08
2024-09-10,726.77,33.41,122.72
2024-09-11,667.8,38.15,100.25
2024-09-12,822.72,31.05,132.05
2024-09-13,974.46,27.01,139.6
2024-09-14,878.41,25.43,125.27
2024-09-15,828.02,36.33,125.7
2024-09-16,638.87,34.3,106.1
2024-09-17,846.0,35.56,129.78
2024-09-18,996.02,28.19,147.59
2024-09-19,656.03,27.05,100.93
2024-09-20,807.33,25.22,117.81
2024-09-21,950.95,30.26,136.5
2024-09-22,896.31,33.85,134.35
2024-09-23,878.81,30.88,131.7
2024-09-24,880.99,31.56,122.42
2024-09-25,743.8,38.56,113.36
2024-09-26,717.44,30.22,113.99
2024-09-27,923.74,32.71,137.87
2024-09-28,924.05,36.75,139.37
2024-09-29,946.83,30.95,138.47
2024-09-30,965.3,34.33,145.04
2024-10-01,804.54,37.94,124.19
2024-10-02,800.61,39.24,123.58
2024-10-03,919.32,27.21,133.06
2024-10-04,859.99,38.9,129.43
2024-10-05,880.79,32.38,133.64
2024-10-06,918.32,28.87,124.78
2024-10-07,956.0,31.89,145.38
2024-10-08,735.2,39.7,122.35
2024-10-09,750.23,32.39,117.22
2024-10-10,637.59,29.93,105.37
2024-10-11,831.31,34.5,135.69
2024-10-12,614.38,28.6,101.68
2024-10-13,786.24,26.14,106.05
2024-10-14,817.06,26.93,113.2
2024-10-15,714.62,26.92,104.17
2024-10-16,836.33,27.28,122.31
2024-10-17,612.2,27.08,97.72
2024-10-18,614.94,34.61,97.85
2024-10-19,929.04,27.73,134.6
2024-10-20,744.08,30.19,109.66
2024-10-21,650.82,38.45,105.8
2024-10-22,808.9,32.11,115.72
2024-10-23,908.0,35.01,132.35
2024-10-24,686.33,27.58,97.67
2024-10-25,849.16,27.88,119.33
2024-10-26,634.14,25.61,101.86
